nomem_encr;nohouse_encr;wave;geslacht;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
800009;559835;202201;1;1;1955;66;7;66;2;0;1;1;2;1;5;11;-13;4204,69957223296;3100;3100;3100;13;7;5105,60846027652;3800;5;5;5;1;7;0;0
800015;568664;202201;1;1;1962;59;6;59;3;1;1;1;3;1;1;1;4519;4519;2991;2991;2991;10;6;5491,65915636499;3741;6;6;6;1;3;102;0
800041;554273;202201;1;5;1997;24;2;44;5;3;1;5;3;1;5;1;-13;2536,36320561483;1750;-13;1750;13;4;7996,27402661866;5500;5;5;5;0;9; ;0
800057;580532;202201;1;3;1975;47;5;46;5;3;1;5;3;1;1;1;8000;8000;4250;-13;4250;12;9;16500;8500;6;6;6;1;2;0;0
800058;580573;202201;2;1;1997;24;2;24;1;0;0;5;1;2;1;7;550;550;750;-13;750;2;2;550;750;6;5;5;1;9;0;0
800085;545773;202201;1;1;1977;45;5;45;1;0;0;5;1;1;5;1;3330;3330;2250;-13;2250;7;5;3330;2250;5;4;4;1;7;0;0
800091;515359;202201;1;1;1983;38;4;38;2;0;1;5;2;1;4;1;2300;2300;1850;1850;1850;5;4;7236;4800;4;4;4;0;99; ;0
800100;518099;202201;2;2;1990;31;3;36;3;1;1;1;3;2;1;1;2000;2000;1800;1800;1800;4;4;3845;3330;4;4;4;1;7;102;0
800106;577294;202201;1;5;2008;13;1;54;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;7772;5400;1;8;1;1;2; ;0
800119;537783;202201;2;1;1950;71;7;71;4;2;1;1;3;2;3;9;-13;548,547961669689;500;500;500;13;1; ; ;2;2;2;1;2;101;0
800126;587801;202201;1;1;1966;55;6;55;3;1;1;1;3;1;1;2;-13; ;-14;-13; ;13;14; ; ;6;6;6;0;9; ;0
800127;526726;202201;2;1;1983;38;4;38;1;0;0;3;1;1;1;1;2800;2800;2100;2100;2100;6;5;2800;2100;5;4;4;1;9;0;0
800128;596466;202201;2;6;1996;25;3;33;3;0;1;5;2;2;3;12;-13;1161,99328953552;900;900;900;13;2;6255,94314409638;4750;2;2;2;1;8;0;0
800131;537240;202201;2;1;1954;67;7;67;2;0;1;1;2;1;5;9;-13; ;-14;-13; ;13;14; ; ;4;4;4;1;3;0;0
800161;561404;202201;1;1;1970;51;5;51;3;1;1;3;3;1;4;3;-13;8612,54449302464;5000;5000;5000;13;10;11571,127273692;7000;5;5;5;1;2;0;1
800170;520571;202201;2;1;1958;63;6;63;2;1;0;3;4;1;2;1;2903;2903;2300;2300;2300;6;5;4703;3600;4;4;4;1;2;0;0
800186;534976;202201;2;1;1939;82;7;82;2;0;0;4;5;1;3;8;-13;2185,64654402031;1750;-13;1750;13;4;4227,64654402031;3500;2;2;2;1;2;0;0
800192;531591;202201;2;5;2003;18;2;51;4;2;1;5;3;1;3;7;0;0;0;0;0;0;0;8365,44270243862;5350;4;2;2;0;2;0;0
800201;529760;202201;1;2;1973;48;5;48;2;0;1;1;2;2;4;1;2200;2200;1900;1900;1900;5;4;4600;3850;4;4;4;1;2;0;0
800204;555221;202201;1;1;1942;80;7;80;2;0;1;1;2;1;2;9;1973;1973;1559;1559;1559;4;4;2784;2273;2;2;2;1;2; ;0
800213;560256;202201;1;9;1917;104;7;79;3;0;1;4;2;1;5;9;0;0;0;0;0;0;0;8200;5850;3;3;3;0;3; ;0
800215;594257;202201;2;1;1992;29;3;29;2;0;1;5;2;2;1;1;3800;3800;2700;2700;2700;8;6;10200;6950;5;5;5;1;9;0;0
800216;598019;202201;1;1;1958;64;6;64;2;0;1;1;2;1;5;10;3407;3407;2200;2200;2200;7;5;6957;4600;4;4;4;1;8;0;0
800228;568560;202201;1;1;1952;69;7;69;2;0;1;1;2;1;2;9;4800;4800;3000;3000;3000;10;6;6934,85999118978;4540;6;6;6;1;2;0;0
800239;551681;202201;1;5;2004;17;2;47;4;3;0;5;4;1;2;7;-13;286,992040080165;250;-13;250;13;1;3056,99204008017;2430;3;1;1;1;9;0;0
800274;523678;202201;2;2;1980;42;4;47;3;1;1;1;3;1;5;1;-13;3478,94341065557;2300;2300;2300;13;5;7184,94932316402;4800;4;4;4;1;6;0;0
800289;539959;202201;2;2;1953;68;7;68;2;0;1;1;2;1;4;9;-13;1807,53890899074;1500;1500;1500;13;3;3644,33281153857;3000;2;2;2;1;3;0;0
800309;573933;202201;1;3;1981;40;4;42;6;4;1;5;3;2;3;5;0;0;0;0;0;0;0;2050;2050;2;1;1;0;9; ;0
800329;596481;202201;1;1;1957;64;6;64;2;0;1;1;2;1;3;9;-13;3358,78097594157;2250;-13;2250;13;5;5565,43729471587;3800;5;5;5;0;1; ;0
