nomem_encr;nohouse_encr;wave;geslacht;gender;positie;gebjaar;leeftijd;lftdcat;lftdhhh;aantalhh;aantalki;partner;burgstat;woonvorm;woning;sted;belbezig;brutoink;brutoink_f;nettoink;netinc;nettoink_f;brutocat;nettocat;brutohh_f;nettohh_f;oplzon;oplmet;oplcat;doetmee;werving;herkomstgroep;simpc
800001;535121;202211;1;1;1;1961;61;6;61;2;0;1;5;2;1;4;4;-13;2247,01636189637;1588;1588;1588;13;4;3648,10832897175;2651;5;5;5;1;10;201;0
800002;521889;202211;1;1;1;1976;45;5;45;6;4;1;1;3;1;4;1;4250;4250;2700;2700;2700;9;6;6300;3960;4;4;4;1;10;0;0
800009;559835;202211;1;999;1;1955;67;7;67;2;0;1;1;2;1;5;1;-13;6487,19108758918;4400;4400;4400;13;9;8451,61333892468;5800;5;5;5;1;7;0;0
800015;568664;202211;1;999;1;1962;60;6;60;3;1;1;1;3;1;1;1;4519;4519;3100;3100;3100;10;7;4813,45422891305;3350;6;6;6;1;3;102;0
800028;542295;202211;1;1;1;1950;72;7;72;2;0;1;1;2;1;2;9;-13;3432,79404639575;2600;2600;2600;13;6;4582,6727773595;3600;6;3;3;1;10;0;0
800041;554273;202211;1;999;5;1997;24;2;45;5;3;1;5;3;1;5;1;-13;3391,22694966811;2250;-13;2250;13;5;9660,69610877495;6500;5;5;5;0;9; ;0
800057;580532;202211;1;999;3;1975;47;5;46;5;3;1;5;3;1;1;1;8000;8000;4250;-13;4250;12;9;16500;9000;6;6;6;1;2;0;0
800058;580573;202211;2;999;1;1997;25;3;25;1;0;0;5;1;2;1;7;700;700;750;-13;750;2;2;700;750;6;5;5;1;9;0;0
800085;545773;202211;1;999;1;1977;45;5;45;1;0;0;5;1;1;5;1;3360;3360;2250;-13;2250;7;5;3360;2250;5;4;4;1;7;0;0
800091;515359;202211;1;999;1;1983;39;4;39;2;0;1;5;2;1;4;1;2300;2300;1950;1950;1950;5;4;7236;4900;4;4;4;0;99; ;0
